TestSC.EarthMJ2000Eq.VX   TestSC.EarthMJ2000Eq.VY   TestSC.EarthMJ2000Eq.VZ   TestSC.EarthMJ2000Eq.X    TestSC.EarthMJ2000Eq.Y    TestSC.EarthMJ2000Eq.Z    TestSC.TotalMass          TestSC.ElapsedSecs        
0.1156856590197222        -4.00786353440669         0                         -14996.22285508296        -261.7600436133688        -0                        7000                      0                         
0.2220211583925124        -4.005154031858097        1.340673836199965e-07     -14986.09171728571        -502.1591073454528        4.032076578563212e-06     7000                      59.99999988125637         
0.5766460827585769        -3.983747809022779        5.657614387483831e-07     -14906.2307990563         -1301.367551261866        7.441662061454363e-05     7000                      260.000000114087          
0.9317685709328437        -3.943072943777741        9.720025218216729e-07     -14755.40006966148        -2094.37418323915         0.0002286398994155847     7000                      460.0000000325963         
1.287672080468938         -3.882630411679337        1.35003326593955e-06      -14533.47122720213        -2877.279443474205        0.0004613372849292688     7000                      659.9999999511056         
1.644605736793122         -3.801668706754211        1.6969391609128e-06       -14240.2624462239         -3646.059009009335        0.0007665788278616198     7000                      859.9999998696148         
2.002766381090405         -3.699162680323866        2.009527399055623e-06     -13875.54696736261        -4396.511308835575        0.001137826036398318      7000                      1060.000000102445         
2.362275272115835         -3.573784237761828        2.284182424741502e-06     -13439.065776443          -5124.200009594753        0.001567862225677256      7000                      1260.000000020955         
2.723146948171213         -3.423863712776242        2.516690490378736e-06     -12930.54567895623        -5824.389730712805        0.002048690999513049      7000                      1459.999999939464         
3.085246816136524         -3.247340421678868        2.702027373319789e-06     -12349.72466224331        -6491.972979929966        0.00257139602259241       7000                      1659.999999857973         
3.448232637303058         -3.041700610201158        2.834110123619718e-06     -11696.3872549159         -7121.385970761664        0.003125954623599558      7000                      1860.000000090804         
3.811473012794459         -2.803900823561548        2.905531697322245e-06     -10970.41375236603        -7706.51060488952         0.003700999472375635      7000                      2060.000000009313         
4.173932917105184         -2.530274829107915        2.907339766611646e-06     -10171.84884227048        -8240.559511620904        0.004283530016252288      7000                      2259.999999927823         
4.534011819144179         -2.216422950139095        2.829013741485427e-06     -9300.997576071211        -8715.940720466078        0.004858595741934781      7000                      2459.999999846332         
4.889313296915419         -1.857084722095329        2.658984018349376e-06     -8358.56014564484         -9124.098489245713        0.005409020980555871      7000                      2660.000000079162         
5.236315389170245         -1.446000506306563        2.386397593653377e-06     -7345.822050198685        -9455.327403710264        0.005915342246686699      7000                      2859.999999997672         
5.569897154341365         -0.9757776830781365       2.00543546764881e-06      -6264.923689533739        -9698.558871054789        0.006356325829813547      7000                      3059.999999916181         
5.88265814799319          -0.4377972057955513       1.524237824649442e-06     -5119.244115756255        -9841.12404122173         0.006710770123036359      7000                      3260.000000149012         
6.163944403240763         0.1777642632040193        9.805824250982862e-07     -3913.948596347019        -9868.507860733933        0.006961743076207652      7000                      3460.000000067521         
6.398472779300039         0.8816464704638121        4.630203410075702e-07     -2656.769222295383        -9764.130724343471        0.007104590951263402      7000                      3659.99999998603          
6.564445574417576         1.6846646614487           1.228640273036283e-07     -1359.110093229829        -9509.236614257305        0.0071586945105912        7000                      3859.999999904539         
6.631125963930893         2.595792951459647         1.353478562463213e-07     -37.58448450434098        -9083.045671887267        0.007177481487171904      7000                      4060.00000013737          
6.556139771815724         3.618293793163207         5.578118610907231e-07     1283.926787464885         -8463.467381729997        0.007240923684098047      7000                      4260.000000055879         
6.283561017059333         4.742633450164273         1.109338506851027e-06     2571.727350320541         -7628.886162508908        0.007410527247354069      7000                      4459.999999974389         
5.745534405090574         5.935013822005497         7.914079644410225e-07     3779.662094019294         -6561.790193479193        0.007630955507893124      7000                      4659.999999892898         
4.886443259994926         7.107534383853817         -3.139472927888324e-06    4834.994555167655         -5273.447722435714        0.007491538812471526      7000                      4857.421121536754         
3.766569254092701         8.083068149555288         -1.160747118133221e-05    5627.812811136842         -3887.675866884617        0.006190289506536101      7000                      5039.546181634068         
2.46225011371265          8.78342215076032          -1.700168128127636e-05    6154.968610149406         -2465.793591472053        0.003690044611135659      7000                      5207.738635560963         
2.256507679443879         8.861909338317185         -1.723423440424184e-05    6211.998387300368         -2252.553944110198        0.003276152805928384      7000                      5231.906726723537         
1.729642726457046         9.028531894304338         -1.766956111751749e-05    6331.690571894373         -1715.633456343808        0.002229521856206657      6999.992718800057         5291.906726604793         
1.19177509436245          9.150565375506909         -1.877201446199679e-05    6418.151874839763         -1177.883147446089        0.001158231620087448      6999.9855422251           5351.044575031847         
0.6871510602119605        9.22327678419709          -2.135989534183299e-05    6469.115563666038         -679.7289638229549        7.92535391177113e-05      6999.978964215787         5405.250002956018         
0.5330383875709249        9.237645823219307         -2.255231631040278e-05    6479.118387421358         -528.3967579803896        -0.0002804192406479591    6999.976974708131         5421.644341712818         
0.377838212881914         9.248454763923867         -2.396160554690386e-05    6486.615586187931         -376.2484778643754        -0.0006629400426878435    6999.974977197056         5438.104632007889         
0.128721268918578         9.258161472172654         -2.666823115488356e-05    6493.291481202403         -132.3781449026932        -0.001328841312002445     6999.971779207875         5464.457342179958         
-0.180847911876922        9.257165081532635         -3.077587734360989e-05    6492.438852998854         170.4654911956619         -0.002266120952287141     6999.96780992236          5497.16584259877          
-0.5562849893433099       9.236583357872702         -3.674855870604543e-05    6477.778485851165         538.1970509591017         -0.003605342861091451     6999.96298483907          5536.926458822563         
-0.8427008462414131       9.206501238105757         -4.188941367627107e-05    6456.426117235233         819.6527150872109         -0.004804301335598907     6999.959281361069         5567.444598837756         
