TestSC.Earth.Altitude     TestSC.Earth.Latitude     TestSC.Earth.Longitude    TestSC.TDBGregorian        TestSC.EarthMJ2000Eq.VMAG   TestSC.ElapsedSecs        
8620.371027052501         -0.1397696534823895       -99.93819854248055        01 Jan 2025 12:00:37.184   4.009532800979399           0                         
8616.366443523331         -0.139744898168271        -99.26971169460641        01 Jan 2025 12:01:37.184   4.011303056823698           59.99999988125637         
8584.793824449527         -0.1394020235899249       -97.03500929744473        01 Jan 2025 12:04:57.184   4.025266116749916           260.000000114087          
8525.159917644156         -0.1386537518643888       -94.78152146696874        01 Jan 2025 12:08:17.184   4.051668410634228           460.0000000325963         
8437.413859872948         -0.1374896732599691       -92.49731165890337        01 Jan 2025 12:11:37.184   4.090588991883488           659.9999999511056         
8321.483571099237         -0.1358940332167308       -90.16988410183517        01 Jan 2025 12:14:57.184   4.142150768068452           859.9999998696148         
8177.279142836526         -0.1338452881687339       -87.78593974215845        01 Jan 2025 12:18:17.184   4.206527987869686           1060.000000102445         
8004.697839971614         -0.131315478973263        -85.33109995795647        01 Jan 2025 12:21:37.184   4.283955910059092           1260.000000020955         
7803.631231459189         -0.1282694045753868       -82.78958571790363        01 Jan 2025 12:24:57.184   4.374742509566323           1459.999999939464         
7573.975196715234         -0.1246635629952733       -80.14383692835632        01 Jan 2025 12:28:17.184   4.479282055280466           1659.999999857973         
7315.643877041364         -0.1204448200496223       -77.37405282846414        01 Jan 2025 12:31:37.184   4.598070347772902           1860.000000090804         
7028.589098918403         -0.1155487615510717       -74.45762901956425        01 Jan 2025 12:34:57.184   4.731721288879806           2060.000000009313         
6712.82745306879          -0.1098976855708893       -71.3684599240846         01 Jan 2025 12:38:17.184   4.880984194537011           2259.999999927823         
6368.478164994984         -0.103398204878023        -68.07606677431899        01 Jan 2025 12:41:37.184   5.046760730414197           2459.999999846332         
5995.816278945113         -0.09593847017574633      -64.5445008487991         01 Jan 2025 12:44:57.184   5.2301193275528             2660.000000079162         
5595.347699632685         -0.0873851202250209       -60.7309602212177         01 Jan 2025 12:48:17.184   5.432303040065625           2859.999999997672         
5167.915575489053         -0.07758026944442389      -56.58404859188457        01 Jan 2025 12:51:37.184   5.654723370487547           3059.999999916181         
4714.85172595312          -0.06633926021890324      -52.0416036576658         01 Jan 2025 12:54:57.184   5.898926451444884           3260.000000149012         
4238.192698535306         -0.05345072866426065      -47.0280465826124         01 Jan 2025 12:58:17.184   6.166507175015483           3460.000000067521         
3740.987757878829         -0.03868210630816216      -41.4512899526412         01 Jan 2025 13:01:37.184   6.458928270721553           3659.99999998603          
3227.734888527796         -0.0217965865836911       -35.19946650646374        01 Jan 2025 13:04:57.184   6.777170554222888           3859.999999904539         
2704.987131502219         -0.00259263232909889      -28.13825860588411        01 Jan 2025 13:08:17.184   7.121093497235337           4060.00000013737          
2182.164404839815         0.01901517006125975       -20.11069254238213        01 Jan 2025 13:11:37.184   7.488325492473546           4260.000000055879         
1672.558442452631         0.04284659424475672       -10.94329683939556        01 Jan 2025 13:14:57.184   7.872465376089481           4459.999999974389         
1194.375604506685         0.06821141143579008       -0.4656894240659434       01 Jan 2025 13:18:17.184   8.260481503367597           4659.999999892898         
776.3325636663558         0.09326718588567182       11.28340438932032         01 Jan 2025 13:21:34.605   8.625217214790935           4857.421097019687         
461.9150375245945         0.114239872303562         23.36952342705887         01 Jan 2025 13:24:36.730   8.917568843512166           5039.54615900293          
252.382403254217          0.129444117160991         35.47147398904765         01 Jan 2025 13:27:24.923   9.122016225173825           5207.738619530573         
229.6564257509981         0.1311656585738809        37.2711261688768          01 Jan 2025 13:27:49.091   9.144685015056              5231.906726409215         
181.8717181309466         0.1348462696554888        41.79095953556875         01 Jan 2025 13:28:49.091   9.192717341739671           5291.906726290472         
147.2343077190735         0.1375843858633622        46.30066480439511         01 Jan 2025 13:29:48.168   9.227818343343031           5350.984228157904         
126.6172468785517         0.1392712148482521        50.47304712239704         01 Jan 2025 13:30:42.344   9.248812571169642           5405.159754375927         
122.360239614457          0.1396340258060569        51.79435017163286         01 Jan 2025 13:30:59.435   9.253146866912463           5422.251516615506         
119.1838866254357         0.1399147048162062        53.11977175121238         01 Jan 2025 13:31:16.560   9.256370313524428           5439.375928987283         
116.5185270822694         0.1401735108487877        55.04505329981104         01 Jan 2025 13:31:41.410   9.259042576550156           5464.226240536664         
116.6904059004737         0.1402375368451705        57.77357567753796         01 Jan 2025 13:32:16.612   9.258772121006261           5499.428116902709         
121.6958558485876         0.1399328494143046        60.57874266696089         01 Jan 2025 13:32:52.833   9.253592329124533           5535.649321437813         
123.1269385125515         0.1398375050562543        61.08687496969333         01 Jan 2025 13:32:59.402   9.252124815638552           5542.218204285018         
124.6271108761321         0.1397360962242817        61.56699265329009         01 Jan 2025 13:33:05.612   9.250588882115681           5548.427885072306         
127.4189129123479         0.1395446342647855        62.35968685336981         01 Jan 2025 13:33:15.871   9.247735138523598           5558.687397732865         
132.6925509029952         0.1391768340465614        63.62572744957499         01 Jan 2025 13:33:32.278   9.242355233845126           5575.094402697869         
144.165914874673          0.1383625307236344        65.81211325650042         01 Jan 2025 13:34:00.688   9.230680825550207           5603.503839229234         
166.6624287555451         0.1367442385647436        69.04619599608975         01 Jan 2025 13:34:42.938   9.207876303025341           5645.754047913942         
196.2490137824871         0.1346051111553723        72.32370681258914         01 Jan 2025 13:35:26.116   9.178039858129825           5688.932120706886         
276.526863887002          0.1288327898671938        78.89486377941873         01 Jan 2025 13:36:54.173   9.09794267473122            5776.989215437789         
